<<<<<<< HEAD
aux = h, W, e, c, b0, bx, by, bx, bsq, vsq, BS, Bsq, Ssq
2.434808 2.434810 2.434809 2.434810 2.434810 2.434810 2.434810 2.434811 2.434811 
2.447326 2.447515 2.447514 2.447516 2.447516 2.447515 2.447515 2.447516 2.447978 
2.469120 2.469127 2.469126 2.469128 2.469128 2.469127 2.469128 2.469128 2.466467 
2.488490 2.488491 2.488490 2.488492 2.488492 2.488491 2.488492 2.488492 2.488384 
2.498647 2.498649 2.498648 2.498649 2.498649 2.498649 2.498649 2.498649 2.497654 
2.496739 2.496739 2.496738 2.496740 2.496740 2.496739 2.496740 2.496740 2.496237 
2.497516 2.497515 2.497514 2.497515 2.497515 2.497515 2.497515 2.497515 2.496950 
2.497314 2.497311 2.497310 2.497312 2.497312 2.497311 2.497311 2.497312 2.496985 
2.498076 2.498072 2.498071 2.498072 2.498072 2.498072 2.498072 2.498073 2.498352 
2.499764 2.499760 2.499759 2.499760 2.499760 2.499760 2.499760 2.499761 2.500806 
2.500773 2.500770 2.500769 2.500770 2.500770 2.500770 2.500770 2.500770 2.502219 
2.503090 2.503088 2.503087 2.503088 2.503088 2.503088 2.503088 2.503088 2.504719 
2.508774 2.508773 2.508772 2.508773 2.508773 2.508773 2.508773 2.508773 2.510351 
2.516511 2.516512 2.516511 2.516512 2.516512 2.516512 2.516512 2.516512 2.517649 
2.526682 2.526683 2.526682 2.526683 2.526683 2.526683 2.526683 2.526683 2.527794 
2.535374 2.535377 2.535375 2.535377 2.535377 2.535377 2.535376 2.535377 2.536186 
2.551901 2.551904 2.551902 2.551904 2.551904 2.551904 2.551903 2.551904 2.552391 
2.551219 2.551222 2.551221 2.551222 2.551222 2.551222 2.551222 2.551223 2.551608 
2.554852 2.554857 2.554855 2.554857 2.554857 2.554856 2.554856 2.554857 2.554509 
2.555128 2.555134 2.555132 2.555134 2.555134 2.555134 2.555134 2.555134 2.554806 
2.551152 2.551159 2.551158 2.551159 2.551159 2.551159 2.551159 2.551159 2.550683 
2.547304 2.547311 2.547310 2.547311 2.547311 2.547311 2.547311 2.547312 2.546800 
2.543441 2.543449 2.543448 2.543449 2.543449 2.543449 2.543449 2.543449 2.542666 
2.535561 2.535569 2.535568 2.535570 2.535570 2.535569 2.535569 2.535570 2.534785 
2.524960 2.524968 2.524967 2.524968 2.524968 2.524968 2.524968 2.524969 2.523938 
2.520024 2.520032 2.520031 2.520032 2.520032 2.520032 2.520032 2.520032 2.518999 
2.526110 2.526116 2.526115 2.526116 2.526116 2.526116 2.526116 2.526116 2.523623 
2.527656 2.527660 2.527659 2.527660 2.527660 2.527660 2.527660 2.527661 2.525843 
2.519331 2.519333 2.519332 2.519333 2.519333 2.519333 2.519333 2.519333 2.517039 
2.537567 2.537568 2.537567 2.537568 2.537568 2.537568 2.537568 2.537568 2.534743 
2.524195 2.524194 2.524193 2.524194 2.524194 2.524194 2.524194 2.524194 2.521789 
2.518738 2.518737 2.518735 2.518737 2.518737 2.518737 2.518737 2.518737 2.516699 
2.512828 2.512826 2.512825 2.512826 2.512826 2.512826 2.512826 2.512826 2.511257 
2.503664 2.503662 2.503661 2.503662 2.503662 2.503662 2.503662 2.503662 2.502868 
2.498049 2.498047 2.498045 2.498047 2.498047 2.498047 2.498046 2.498047 2.498035 
2.492579 2.492578 2.492576 2.492577 2.492577 2.492578 2.492577 2.492578 2.492959 
2.484857 2.484855 2.484854 2.484855 2.484855 2.484855 2.484855 2.484855 2.485717 
2.475169 2.475168 2.475167 2.475168 2.475168 2.475168 2.475167 2.475168 2.476267 
2.462808 2.462807 2.462806 2.462807 2.462807 2.462807 2.462807 2.462807 2.464246 
